[Problem name],[Solve duration],[(DD) Results generated],[(AR) Equations recorded],[(GGraph) Total nodes],[(Traceback) Solution length],[(Traceback) Solution depth],[Problem source],
[110-43],[32214],[324],[14],[107],[10],[5],[Chou-Angle-110],
[110-44],[44042],[159],[7],[155],[15],[8],[Chou-Angle-110],
[110-45],[730238],[801],[30],[404],[30],[10],[Chou-Angle-110],
[110-46],[224597],[702],[20],[608],[28],[7],[Chou-Angle-110],
[110-47],[177036],[304],[11],[194],[27],[13],[Chou-Angle-110],
[110-48],[8855],[72],[7],[84],[16],[6],[Chou-Angle-110],
[110-49],[309026],[714],[25],[301],[39],[9],[Chou-Angle-110],
[110-5],[137477],[123],[21],[243],[11],[5],[Chou-Angle-110],
[110-50],[370078],[450],[28],[344],[51],[9],[Chou-Angle-110],
[110-51],[556331],[997],[17],[245],[32],[7],[Chou-Angle-110],
[110-52],[524232],[886],[20],[307],[43],[13],[Chou-Angle-110],
[110-53],[126226],[393],[12],[178],[23],[11],[Chou-Angle-110],
[110-54],[242380],[592],[23],[232],[25],[7],[Chou-Angle-110],
[110-55],[231610],[592],[23],[232],[25],[7],[Chou-Angle-110],
[110-56],[63244],[210],[11],[81],[20],[6],[Chou-Angle-110],
[110-57],[145450],[440],[13],[256],[37],[9],[Chou-Angle-110],
[110-58],[635364],[1279],[35],[676],[59],[9],[Chou-Angle-110],
[110-59],[3939],[53],[4],[57],[3],[3],[Chou-Angle-110],
[110-6],[15631],[60],[3],[64],[10],[5],[Chou-Angle-110],
[110-60],[642107],[872],[24],[280],[40],[13],[Chou-Angle-110],
[110-61],[22528],[93],[13],[158],[16],[6],[Chou-Angle-110],
[110-62],[553659],[1082],[28],[460],[39],[7],[Chou-Angle-110],
[110-63],[500980],[1048],[23],[455],[30],[8],[Chou-Angle-110],
[110-64],[40669],[151],[18],[260],[24],[6],[Chou-Angle-110],
[110-65],[135402],[421],[15],[191],[26],[7],[Chou-Angle-110],
[110-66],[267003],[667],[26],[424],[25],[8],[Chou-Angle-110],
